name,price,rating,zip code,review count,categories,
Dim Sum Palace,$$,4.0,10036,493,['dimsum', 'cantonese']
Wah Fung No 1,$,4.5,10002,819,['chinese', 'hotdogs']
Tasty Garden,$,5.0,10009,16,['dimsum', 'noodles']
Peng's Noodle Folk,$$,4.5,10028,174,['chinese', 'noodles', 'ramen']
Zest Szechuan,$$,4.0,10018,240,['szechuan', 'seafood', 'soup']
Tuome,$$$,4.5,10009,290,['newamerican', 'chinese']
Shu Jiao Fu Zhou Cuisine Restaurant,$,4.5,10002,387,['chinese', 'noodles']
China Jade,$$,4.5,10028,19,['chinese']
China Xiang,$$,4.0,10036,235,['chinese']
Han Dynasty,$$,4.0,10024,339,['szechuan']
Han Dynasty,$$,4.0,10003,904,['szechuan', 'bars']
Xi'an Famous Foods,$,4.0,10075,344,['chinese', 'noodles', 'burgers']
Café China,$$,4.0,10016,867,['szechuan']
Xi'an Famous Foods,$,4.0,10036,1169,['chinese', 'burgers', 'noodles']
Szechuan Garden,$$,4.0,10025,159,['szechuan']
Jasmine Restaurant,$$,4.0,10017,104,['shanghainese', 'dimsum', 'szechuan']
Tri Dim Shanghai,$$,4.0,10075,86,['shanghainese', 'dimsum', 'szechuan']
Auntie Guan's Kitchen 108,$$,4.0,10011,234,['chinese', 'asianfusion']
Excellent Dumpling House,$$,4.0,10011,222,['dimsum', 'seafood', 'soup']
Xi'an Famous Foods,$,4.0,10016,440,['chinese', 'noodles', 'burgers']
La Salle Dumpling Room,$$,4.0,10023,36,['chinese']
Chaan Teng,$$,4.0,10036,108,['chinese']
Burp Bowl Cafe,$,4.5,10010,104,['chinese', 'noodles', 'soup']
Shanghai,$,4.0,10021,57,['chinese']
Radiance Tea House and Books,$$,4.0,10019,748,['asianfusion', 'tea', 'chinese']
Joe's Shanghai,$$,4.0,10013,4596,['shanghainese', 'desserts', 'seafood']
Xi'an Famous Foods,$$,4.0,10019,195,['noodles', 'burgers', 'chinese']
Buddakan,$$$,4.0,10011,3216,['chinese', 'asianfusion']
Noodle Fun,$$,4.0,10128,100,['chinese', 'noodles']
China Blue,$$,4.0,10013,389,['shanghainese', 'dimsum']
Very Fresh Noodles,$$,4.0,10011,289,['taiwanese', 'chinese', 'noodles']
Xi'an Famous Foods,$,4.0,10003,1394,['chinese', 'noodles', 'burgers']
Asura Asian Bistro,$$,4.0,10001,248,['chinese', 'asianfusion', 'bars']
Pig Heaven,$$,4.0,10028,177,['bbq', 'chinese']
Hunan Bistro,$$,4.0,10003,144,['chinese']
MáLà Project,$$,4.0,10009,298,['seafood', 'dimsum', 'chicken_wings']
Decoy,$$$,4.0,10014,245,['chinese', 'bars']
Fishmarket Restaurant,$$,4.5,10038,380,['seafood', 'chinese', 'asianfusion']
Joe's Shanghai,$$,3.5,10019,1158,['shanghainese']
Lam Zhou Handmade Noodle & Dumpling,$,4.0,10013,1168,['chinese', 'noodles', 'ramen']
Uncle Ted's Modern Chinese Cuisine,$$,4.0,10012,345,['chinese']
Niu Noodle House,$$,4.0,10014,524,['chinese', 'asianfusion', 'noodles']
Flor De Mayo,$$,4.0,10024,983,['chinese', 'peruvian', 'spanish']
Dim Sum Palace,$$,4.0,10019,66,['dimsum', 'seafood', 'noodles']
Chop Shop II,$$,4.0,10010,150,['chinese', 'thai', 'asianfusion']
Shanghai Asian Manor,$$,4.0,10013,1152,['shanghainese']
Ding Szechuan and Hot Pot Restaurant,$$,3.5,10036,118,['hotpot', 'bbq', 'szechuan']
The Bao,$$,3.5,10003,838,['chinese']
Yummy City,$,4.5,10029,21,['chinese']
Fu Xing,$,4.0,10018,33,['cantonese', 'cafeteria', 'bakeries']
Bugis Street Brasserie & Bar,$$,5.0,10036,8,['singaporean', 'panasian', 'chinese']
Spice Symphony,$$,4.0,10016,432,['indpak', 'chinese', 'wine_bars']
Nom Wah Tu,$$,4.0,10002,9,['chinese', 'newamerican']
Szechuan Gourmet,$$,3.5,10018,814,['szechuan']
Wu Liang Ye,$$,3.5,10036,427,['szechuan']
Spicy Village,$,4.0,10002,395,['chinese']
The Tang,$$,4.0,10009,168,['noodles', 'chinese', 'taiwanese']
Lotus Blue,$$,3.5,10003,6,['chinese']
Hunan Manor,$$,3.5,10016,197,['chinese']
Xi'an Famous Foods,$,4.0,10025,267,['chinese', 'noodles', 'burgers']
Radiance,$$,4.0,10022,117,['chinese', 'tea', 'venues']
Legend 72,$$,3.0,10023,146,['chinese', 'seafood', 'noodles']
Spice Symphony,$$,4.0,10022,86,['chinese', 'indpak', 'bars']
Little Alley,$$,4.0,10016,81,['shanghainese']
Pa Pa Thai Cuisine,$,4.5,10022,56,['thai', 'chinese', 'salad']
Ningbo Cafe,$$,4.0,10280,78,['shanghainese', 'szechuan', 'asianfusion']
Sun Hing Lung Co,$,4.5,10002,103,['chinese']
Vanessa's Dumpling House,$,4.0,10002,2093,['chinese']
Land of Plenty,$$,3.5,10022,239,['chinese']
Xi'an Famous Foods,$,4.0,10012,104,['chinese', 'noodles', 'burgers']
21 Shanghai House,$$,4.0,10002,319,['shanghainese']
Carma East,$$,4.0,10009,112,['bars', 'dimsum', 'taiwanese']
Tasty Hand-Pulled Noodles,$,4.0,10013,1239,['chinese', 'noodles']
Grand Sichuan,$$,3.5,10001,369,['chinese']
Hao Noodle and Tea By Madam Zhu's Kitchen,$$,3.5,10014,278,['chinese', 'noodles']
La Salle Dumpling Room,$$,4.0,10027,118,['asianfusion', 'chinese']
Tang Pavilion,$$,3.5,10019,264,['chinese']
Yuan,$$,3.5,10003,49,['noodles', 'dimsum', 'bars']
Junzi Kitchen,$$,4.0,10025,54,['chinese', 'noodles', 'tea']
Cheong Fun Cart,$,5.0,10013,35,['foodstands', 'chinese', 'streetvendors']
Shu Han Ju,$$,3.5,10011,110,['chinese']
Little Tong Noodle Shop,$$,4.0,10003,111,['noodles', 'chinese']
Noodle Village,$,4.0,10013,700,['chinese', 'noodles']
Savour Sichuan,$$,3.5,10018,142,['szechuan', 'dimsum', 'asianfusion']
Golden Forest,$,4.0,10002,104,['chinese']
Ahana,$$,4.0,10065,100,['japanese', 'chinese', 'thai']
Hakkasan,$$$$,3.5,10036,680,['chinese']
Spice Noodle,$$$,3.5,10029,25,['vietnamese', 'chinese']
La Vie en Szechuan,$$,3.5,10016,365,['szechuan']
Pinch Chinese,$$,4.0,10012,106,['chinese', 'wine_bars', 'cocktailbars']
Happy Hot Hunan,$$,3.5,10025,95,['chinese']
Hot Kitchen,$$,3.5,10022,133,['szechuan']
Asia Express,$,3.5,10016,37,['chinese']
Auntie Guan's Kitchen,$,3.5,10011,104,['chinese']
Shorty Tang Noodle Shop,$$,3.5,10011,98,['noodles', 'chinese', 'taiwanese']
Chef Ho's,$$,3.5,10128,183,['chinese', 'cocktailbars']
RedFarm,$$$,3.5,10024,447,['dimsum', 'cantonese', 'asianfusion']
Hing Won,$,3.5,10036,167,['cantonese']
Mapo Tofu,$$,3.5,10016,275,['chinese']
Grand Sichuan Eastern,$$,3.5,10022,209,['szechuan']
Ollie's Sichuan,$$,3.0,10036,387,['szechuan']
Wa Jeal Sichuan Chili House,$$,3.5,10028,353,['chinese']
Red Hot HotPot,$$,4.0,10025,6,['hotpot', 'chinese']
King's Kitchen,$,4.0,10002,122,['chinese']
Szechuan Garden Kitchen,$,4.0,10026,11,['chinese']
Mee Noodle Shop & Grill,$,3.5,10022,239,['noodles', 'cantonese']
Flor de Mayo,$$,4.0,10025,425,['chinese', 'peruvian', 'cocktailbars']
Rice & Gold,$$,4.0,10013,12,['chinese', 'asianfusion', 'cocktailbars']
Main Noodle House,$$,3.5,10018,303,['chinese', 'noodles']
Szechuan Gourmet 56,$$,3.0,10019,302,['szechuan']
BaoHaus,$,3.5,10003,1650,['chinese', 'taiwanese']
A Taste Of China,$$,4.0,10010,33,['chinese', 'wine_bars']
Hot Sichuan,$$,3.5,10011,82,['szechuan']
A-jiao,$$,3.5,10128,85,['chinese']
Wok 88,$$,3.5,10128,195,['chinese']
Congee Village,$$,3.5,10002,1276,['cantonese']
Sichuan Bistro,$$,4.0,10010,22,['szechuan']
The Rice Noodle,$,3.5,10012,77,['noodles', 'hotdogs', 'chinese']
Chen's Buffet Bar,$,4.0,10038,22,['chinese']
Peking Duck House,$$$,3.5,10022,316,['chinese']
Shanghai Mong,$$,3.0,10001,397,['korean', 'chinese', 'asianfusion']
99 Favor Taste - St. Marks,$$,4.0,10003,69,['hotpot', 'bbq', 'chinese']
May Wah Fast Food,$,4.0,10013,242,['chinese', 'taiwanese']
Kung Fu Little Steamed Buns Ramen,$$,3.5,10019,713,['chinese', 'ramen']
S Wan Cafe,$,4.0,10002,75,['cafes', 'chinese']
Hot Kitchen,$$,3.5,10003,368,['chinese']
Nyonya,$$,4.0,10013,1649,['asianfusion', 'malaysian', 'chinese']
Super Taste,$,4.0,10002,421,['chinese', 'noodles']
China North Dumpling,$,4.0,10002,252,['chinese']
Great NY Noodle Town,$,3.5,10013,1020,['cantonese', 'noodles']
108 Food Dried Hot Pot,$$,3.5,10025,48,['hotpot', 'chinese']
Shanghai Asian Cuisine,$$,4.0,10013,365,['shanghainese']
Ramen Thukpa,$$,4.0,10014,166,['chinese', 'ramen', 'vegetarian']
Dumpling Kingdom,$,3.5,10012,166,['chinese', 'hotdogs']
Kung Fu Little Steamed Buns Ramen,$$,3.0,10022,189,['ramen', 'chinese']
Dong Chun Hong,$$,3.5,10001,228,['chinese', 'korean']
Hunan Delight,$$,3.5,10075,153,['chinese', 'japanese']
Taste Good,$,3.5,10010,69,['chinese']
Lin's Gourmet,$,3.5,10022,44,['chinese']
Legend Bar & Restaurant,$$,3.0,10011,282,['szechuan', 'hotpot']
Hop Lee Restaurant,$$,4.0,10013,219,['chinese', 'seafood', 'noodles']
Ho Yip Restaurant,$,3.5,10006,220,['chinese']
Wo Hop,$$,3.5,10013,1058,['chinese']
Hop Won Restaurant,$,3.0,10017,121,['chinese']
Uncle Luoyang,$$,3.5,10025,79,['bbq', 'sushi', 'chinese']
Hong Kong Chinese Restaurant,$,3.5,10016,28,['chinese', 'japanese']
Canteen 82,$$,3.0,10024,180,['chinese']
La Dinastia,$$,3.5,10023,127,['asianfusion', 'chinese']
Asian Spicy Curry Pop-up,$,4.5,10013,109,['asianfusion', 'malaysian', 'chinese']
Bo Ky Restaurant,$,3.5,10013,591,['chinese', 'vietnamese']
RedFarm,$$$,3.5,10014,546,['dimsum', 'asianfusion', 'cantonese']
New Double Dragon,$,4.0,10003,46,['chinese']
New Moon,$$,5.0,10016,4,['chinese']
Hyo Dong Gak,$$,3.5,10001,341,['chinese', 'vietnamese', 'asianfusion']
Wok City,$,3.0,10023,64,['chinese']
Lili's 57,$$,3.5,10019,218,['chinese', 'japanese', 'gluten_free']
Lan Sheng Szechuan Food Restaurant,$$,3.5,10018,38,['chinese']
Mr Bing,$$,4.0,10009,5,['chinese']
Sing Kee Seafood Restaurant,$$,4.0,10013,151,['cantonese']
Home's Kitchen Chinese Restaurant,$$,3.5,10010,157,['szechuan']
Mei Yu Spring,$,4.0,10002,40,['chinese']
Sammy's Noodle Shop & Grill,$$,3.5,10011,381,['chinese', 'noodles', 'soup']
Hop Kee,$$,4.0,10013,654,['seafood', 'cantonese']
Ollie's Noodle Shop & Grille,$$,3.0,10025,87,['bbq', 'noodles', 'szechuan']
Dragon Noodle and Grill,$,4.0,10013,76,['chinese', 'noodles']
Shanghai Cafe,$,3.5,10013,1923,['shanghainese']
A & C Kitchen,$,3.5,10009,22,['chinese']
Taiwan Bear House,$,4.0,10013,216,['taiwanese', 'bubbletea', 'chinese']
Jing Fong,$$,3.0,10024,61,['dimsum', 'cantonese']
Evergreen On 38,$$,3.5,10016,177,['chinese']
Chef Yu,$$,3.0,10018,447,['chinese']
Grand Sichuan Eastern,$$,3.0,10011,83,['chinese']
Harvest Chinese & Thai Cuisine,$$,3.5,10075,62,['thai', 'chinese']
Xi'an Famous Foods,$,4.0,10013,768,['chinese', 'burgers', 'noodles']
Mr Bing,$$,3.5,10021,109,['foodstands', 'chinese', 'food_court']
Asian Eatery,$,3.5,10022,46,['japanese', 'chinese']
Ginger's,$$,3.5,10018,326,['chinese']
Hunan House,$$,2.5,10019,126,['chinese']
Charley Mom Restaurant,$$,3.5,10028,65,['chinese']
The Cottage,$$,3.0,10024,254,['chinese']
Big Bowl,$$,4.0,10128,36,['thai', 'chinese', 'chicken_wings']
Spice Saigon,$$,3.5,10065,116,['vietnamese', 'noodles', 'chinese']
Zongzi lady,$,4.5,10002,11,['streetvendors', 'chinese']
Fay Da Bakery,$,4.0,10012,177,['bakeries', 'chinese']
Mee Noodle Shop,$,3.0,10019,423,['chinese', 'noodles']
Chinatown Restaurant,$$,3.0,10128,221,['japanese', 'chinese', 'sushi']
Great Sichuan,$$,3.0,10016,170,['chinese']
Shun Lee West,$$$,2.5,10023,355,['chinese']
Xi'an Famous Foods,$$,4.0,10010,51,['chinese', 'noodles', 'burgers']
Shui Mei Cafe,$,4.5,10002,27,['cafes', 'chinese']
Cafe Evergreen,$$,3.5,10021,118,['chinese', 'lounges']
Buddha Bodai Kosher Vegetarian Restaurant,$$,4.0,10013,757,['chinese', 'kosher', 'vegan']
Golden City Chinese Restaurant,$,3.5,10001,69,['chinese']
Mr Chow,$$$$,3.0,10022,266,['chinese']
Tim Ho Wan,$$,3.5,10003,802,['dimsum', 'cantonese']
Kong Kee,$,4.0,10002,43,['chinese', 'foodstands']
Wok Express,$,4.0,10035,10,['chinese']
Shun Lee Palace,$$$,3.0,10022,227,['chinese']
Kungfu Kitchen,$$,3.0,10018,134,['chinese', 'ramen']
Lilli & Loo,$$,3.5,10065,322,['chinese', 'sushi', 'gluten_free']
King Wok,$,3.5,10014,105,['chinese']
Chinese Fast Wok - Eat In & Take Out,$,3.0,10011,52,['chinese']
Taste Kitchen,$,4.5,10018,3,['chinese']
Cheung Wong Kitchen,$,4.0,10002,27,['chinese', 'hkcafe']
Tang's Garden,$$,3.0,10021,82,['chinese', 'chicken_wings']
New Kam Lai,$,3.5,10025,18,['chinese']
Lumos Bar,$$,4.5,10012,69,['cocktailbars', 'asianfusion', 'chinese']
Jimmy's House,$,3.5,10010,82,['chinese', 'noodles']
DIM SUM VIP,$,4.0,10013,74,['dimsum', 'tapasmallplates']
Bite of Hong Kong 泰仁軒,$$,4.0,10002,58,['seafood', 'cantonese']
Jue Lan Club,$$$,3.0,10011,181,['chinese']
Wong Restaurant,$,3.0,10065,36,['chinese']
La Caridad 78,$$,3.5,10024,175,['chinese', 'cuban']
Lychee House,$$,3.5,10022,113,['chinese']
Forever Taste,$,4.0,10002,24,['chinese']
China Taste,$,3.0,10028,53,['chinese']
East Garden Chinese Restaurant,$,3.5,10128,37,['chinese']
Legend Upper West,$$,3.0,10025,116,['chinese']
Tung Woo Co,$,4.0,10013,60,['desserts', 'chinese']
Mr Chow,$$$$,3.0,10013,309,['chinese']
Uncle Luoyang,$,4.0,10027,26,['foodtrucks', 'chinese']
Mee Noodle Shop & Grill,$$,3.0,10003,95,['chinese', 'noodles']
Macao,$$$,4.0,10013,622,['asianfusion', 'portuguese', 'chinese']
Panda Banjum,$,3.5,10001,107,['korean', 'noodles', 'chinese']
No.1 Chinese Restaurant,$$,3.0,10004,128,['chinese']
MoonHouse,$,3.5,10029,76,['chinese']
Taiwan Pork Chop House,$,4.0,10013,245,['taiwanese', 'chinese', 'noodles']
Mission Chinese,$$,3.0,10002,533,['chinese']
Christopher's Golden Woks,$,3.5,10014,43,['chinese']
Manting,$$,3.0,10019,104,['chinese']
New Sunny East 88,$,3.5,10128,49,['chinese']
Chop Shop,$$,3.5,10001,198,['asianfusion', 'chinese', 'thai']
Big Wong,$,3.5,10013,1193,['chinese']
Wu's Wonton King,$$,3.5,10002,97,['cantonese', 'seafood', 'dimsum']
Philippe By Philippe Chow,$$$,3.5,10065,497,['chinese', 'asianfusion']
Jef Chinese,$$,3.5,10017,8,['shanghainese', 'cantonese']
Traditional Chinese Food Cart,NA,4.0,10014,7,['chinese']
King Food Chen,$,3.0,10024,48,['chinese']
Chelsea Golden Wok,$,3.0,10011,36,['chinese']
New Aroma Chinese Restaurant,$,3.5,10027,25,['chinese']
Happy Express Cafe,$,4.0,10002,30,['cantonese', 'hkcafe']
Pearls,$$,3.0,10025,125,['chinese']
Jian Bing Man,$$,3.0,10001,85,['chinese', 'creperies']
Great Wall Chinese,$,3.5,10002,69,['chinese', 'sushi', 'poke']
Fei Ma,$,3.5,10009,37,['chinese']
Shu Han Ju II,$$,4.0,10003,39,['szechuan', 'seafood']
Jiangnan Chinese Cuisine,$$,3.0,10006,6,['chinese']
Noodles 28,$$,3.0,10016,166,['chinese', 'noodles', 'vietnamese']
Six Happiness,$,3.0,10021,101,['chinese']
East Palace,$,3.0,10017,67,['chinese']
China Wok,$,4.0,10037,11,['chinese']
Peking Garden,$,3.5,10027,25,['chinese']
69 Chinese Restaurant,$,3.5,10013,315,['chinese']
The Chinese Couple Vendor aka The Dollar Cart!,$,4.5,10013,44,['foodstands', 'chinese']
Fu Zhou Cuisine,$,4.0,10002,14,['chinese']
Modern Szechuan,$,3.0,10036,11,['chinese']
Hong Man,$,4.0,10002,126,['chinese', 'noodles']
New King Wok Restaurant,$,4.0,10027,5,['chinese']
Kam-Wei Kitchen,$,3.5,10036,28,['chinese']
New Hong Kong Restaurant,$,4.5,10035,4,['chinese']
China King,$,3.0,10010,27,['chinese']
Lava Kitchen,$$,3.0,10025,38,['chinese', 'asianfusion', 'noodles']
China King,$,3.5,10029,18,['chinese']
La Nueva Victoria,$$,3.5,10025,60,['chinese']
Rice Noodle Cart,$,4.5,10013,44,['chinese', 'noodles']
China Chalet,$$,3.0,10006,125,['chinese']
Wing Kee WK Restaurant,$,4.0,10013,31,['chinese']
Panda Express,$,3.5,10021,69,['chinese', 'hotdogs']
Empire,$,3.5,10039,17,['chinese', 'importedfood']
Carol's Bun,$,4.0,10002,18,['chinese']
Dumpling Man,$,3.5,10009,718,['chinese']
Jing Fong Restaurant,$$,3.5,10013,1824,['dimsum', 'cantonese']
Drunken Dumpling,$$,3.5,10003,202,['asianfusion', 'dimsum', 'breakfast_brunch']
New Asian Cuisine,$,4.0,10013,16,['chinese', 'noodles']
Hunan Park,$$,3.0,10025,58,['chinese']
New Ming's Delight,$,3.0,10016,46,['chinese']
Nom Wah Nolita,$$,3.5,10012,92,['dimsum', 'cantonese']
New Kam Lai,$,3.0,10024,40,['chinese']
Ocean Dragon,$,2.5,10019,55,['chinese', 'thai']
J East,$,3.0,10003,55,['chinese']
DiDi Dumpling,$,3.5,10010,136,['chinese', 'gourmet']
East Dumpling,$,4.5,10002,37,['chinese']
China 1 Kitchen,$,2.5,10044,43,['chinese']
Lotus Express,$,4.0,10034,40,['chinese']
Little Sheep Mongolian Hot Pot,$$,4.0,10002,120,['mongolian', 'hotpot', 'chinese']
China Gourmet,$,2.5,10019,166,['chinese']
Ollie's To Go,$$,2.5,10024,114,['chinese', 'sushi', 'bubbletea']
Wonton Noodle Garden,$,3.5,10013,295,['dimsum']
Shanghai Sogo,$$,3.5,10036,11,['shanghainese', 'foodtrucks']
China Wok,$,3.0,10009,45,['chinese']
Red Egg,$$,3.5,10013,674,['dimsum']
Halal Kitchen,$,3.5,10029,11,['halal', 'chinese']
Fresh Wok,$,3.5,10128,26,['chinese', 'hawaiian']
Peking Kitchen II,$,3.5,10026,17,['chinese']
August Gatherings,$$,3.5,10013,118,['cantonese', 'asianfusion']
Hunan Chen's Kitchen,$,3.0,10025,34,['chinese']
Famous Sichuan,$$,3.5,10013,272,['szechuan', 'hotpot']
Hong Kong,$$,3.5,10029,10,['chinese']
A A JING,$$,3.5,10036,244,['chinese', 'asianfusion', 'japanese']
Northern Tiger,$$,3.0,10281,84,['chinese']
Yip's,$,3.5,10004,77,['chinese']
Pic Up Stix,$,3.0,10128,50,['chinese']
Mimi Cheng's Dumplings,$$,3.5,10003,478,['chinese', 'taiwanese']
Bao Bao Cafe,$,4.0,10010,291,['cafes', 'asianfusion', 'ramen']
Vanessa's Dumpling,$,3.5,10003,913,['chinese']
Wok Chi - Stir Fry Kitchen,$$,3.5,10022,28,['dimsum', 'vegetarian']
38 Yummy Kitchen,$,4.0,10002,18,['cantonese']
Our Place China Chalet,$$,3.0,10075,33,['chinese']
Nanjing,$$,3.5,10019,41,['chinese', 'indpak', 'asianfusion']
Wa Lung Kitchen,$,3.0,10002,38,['chinese']
Yoan Ming Garden,$,2.5,10029,30,['chinese']
Bei Jing Chinese Foods,$,3.0,10019,11,['chinese']
The China Star,$,3.0,10003,47,['chinese', 'hotdogs', 'noodles']
Son Ja Jang,$$,3.0,10001,26,['chinese']
West Place,$,3.0,10027,43,['chinese']
La Unica Caridad Restaurant,$$,4.0,10024,5,['cuban', 'chinese']
Potluck,$$,3.0,10001,50,['asianfusion', 'szechuan', 'thai']
