,neighborhood,lat,lng,subway,competitors,rating,review_count,price,rent,half-mile_sub_count,unsupervised_score
0,0,40.76588675204545,-74.16551071363638,0,1,0.0,0.0,0.0,59.7228,0,0.004133991657480498
1,1,40.66272194255813,-73.90803852755813,10,1,0.0,0.0,0.0,40.48185289957565,9,0.017017942148504737
2,2,40.774801871056106,-73.95932495092408,8,1,3.45,216.7,1.9,89.33293900184935,22,0.0021981811577690604
3,3,40.785103567926825,-73.79488061219513,0,1,0.0,0.0,0.0,38.78725274725247,0,0.003144626142751289
4,4,40.93600503586956,-74.06318512195652,0,0,0.0,0.0,0.0,75.99666666666667,0,0.0015610258299248536
5,5,40.76027057028168,-74.04253373816901,0,3,0.0,0.0,0.0,82.1657142857143,0,0.011322710197189409
6,6,40.724874282038094,-73.99524316428571,22,2,3.75,247.625,2.25,114.98719692110214,43,0.003780574388571241
7,7,40.83711551891566,-73.87977426120482,16,0,0.0,0.0,0.0,36.0603815261044,11,0.0016696083528318696
8,8,40.63216650114583,-74.0075945825,7,9,0.0,0.0,0.0,28.55523545706354,3,0.015563835954323531
9,9,40.72765337246753,-73.72209062337663,0,2,0.0,0.0,0.0,44.46765895953763,0,0.01422371365183112
10,10,40.702777231111114,-73.81555086805554,11,3,0.0,0.0,0.0,32.41874999999997,13,0.0046872486311890435
11,11,40.83765876138889,-74.20586318666666,0,1,0.0,0.0,0.0,47.080000000000005,0,0.005772982044899238
12,12,40.64921731311111,-74.21450007466667,0,0,0.0,0.0,0.0,54.83931034482755,0,0.001588137654291365
13,13,40.82126371859757,-73.9535712372561,17,3,3.5714285714285716,19.857142857142858,1.0,29.44333333333331,20,0.0017321614463748705
14,14,40.92453783738095,-73.84901862154761,0,0,0.0,0.0,0.0,23.97714285714286,0,0.0009317618835907626
15,15,40.756320492183335,-73.98380735963333,42,3,3.4444444444444446,220.11111111111111,1.5555555555555556,80.46158827122807,98,0.0022287243284017984
16,16,40.632423032903226,-74.10685676887097,0,0,0.0,0.0,0.0,21.712395309882734,0,0.0026610572387849737
17,17,40.667274801615385,-73.9845509565,21,3,3.8,86.0,1.6,54.716577017114865,17,0.005328053763422231
18,18,40.730864420384606,-73.85723361394231,11,2,4.0,166.0,2.0,25.59375,11,0.0035526836301670384
19,19,40.64610571255814,-73.77798756449613,0,0,0.0,0.0,0.0,33.4,0,0.002530396049731352
20,20,40.8707177525,-74.09943096945652,0,0,0.0,0.0,0.0,62.23,0,0.008684024627580323
21,21,40.584953012528736,-73.95388573862068,10,1,0.0,0.0,0.0,35.0,2,0.003773055675451719
22,22,40.926425285,-73.996270665,0,0,0.0,0.0,0.0,40.166666666666664,0,0.005882838158485223
23,23,40.69034185706587,-73.96444825119761,20,3,3.6,52.0,1.2,49.1332923076921,17,0.004545739217471322
24,24,40.74313346028369,-73.91977152858156,14,3,3.4,35.2,1.0,46.26747841105365,14,0.005992692643654103
25,25,40.770174663333336,-74.25702134888887,0,0,0.0,0.0,0.0,18.86,0,0.0015193851732100668
26,26,40.70321436644172,-73.92537875294478,21,4,4.5,8.5,1.0,42.33435046987289,21,0.005572409980792146
27,27,40.862919382262774,-73.89734337912408,25,2,0.0,0.0,0.0,30.149305555555557,21,0.004656326764076143
28,28,40.902484918,-74.20078054033334,0,1,0.0,0.0,0.0,52.75333333333333,0,0.0036534417914858017
29,29,40.70619497599415,-74.01240029675441,54,2,3.1,80.3,1.5,71.37387739463612,79,0.002116943024602
30,30,40.81053570318841,-74.11788738681159,0,0,0.0,0.0,0.0,47.080000000000005,0,0.006185136972125934
31,31,40.74038520813449,-74.00512403388285,11,0,3.3,136.4,1.6,69.72846303501943,41,0.005020347562895218
32,32,40.846425474833325,-74.00184173033335,0,2,3.857142857142857,52.285714285714285,1.7142857142857142,45.91,0,0.00510495107036161
33,33,40.78876242538462,-73.72873890641027,0,0,0.0,0.0,0.0,92.48500000000016,0,0.007249689198949664
34,34,40.7254720906,-74.2263250786,0,0,0.0,0.0,0.0,18.86,0,0.006715813307150407
35,35,40.59074312857143,-73.80989594984128,24,1,0.0,0.0,0.0,29.333333333333332,4,0.0070586787871721205
36,36,40.75242368822581,-73.84664367225807,7,0,0.0,0.0,0.0,26.5,7,0.0
37,37,40.84822589857143,-73.78764529166666,0,0,0.0,0.0,0.0,29.11,0,0.003249076492162315
38,38,40.778031931401614,-73.98050073466307,7,4,3.0,192.8,2.0,114.34333333333332,19,0.004403412708523968
39,39,40.6324275258156,-73.94612974468085,11,5,0.0,0.0,0.0,52.11206896551724,8,0.008497966999795343
40,40,40.72271758869748,-73.98169191936975,0,2,3.7222222222222223,60.77777777777778,1.4444444444444444,134.5374412532634,8,0.005854721244323894
41,41,40.66621343947369,-74.11212342671053,0,2,0.0,0.0,0.0,26.75,0,0.007724740502778034
42,42,40.71821330986957,-74.04170641547827,0,2,3.1875,180.125,1.75,91.07,0,0.003376964781235909
43,43,40.728026636612896,-74.15092631306452,0,2,0.0,0.0,0.0,41.47,0,0.00957979655718606
44,44,40.61631817698113,-73.98635180084905,11,3,0.0,0.0,0.0,30.197389885807503,5,0.009557109018702407
45,45,40.9521337108,-74.0958220712,0,0,0.0,0.0,0.0,71.3125,0,0.0038858599447709405
46,46,40.87736215740741,-74.04308362203705,0,1,0.0,0.0,0.0,45.91,0,0.00641610112856083
47,47,40.74886667614601,-73.98527413599321,22,9,3.5,282.85,1.75,140.79660460992943,95,0.004525150311717483
48,48,40.68692357971429,-74.01649544485714,0,0,0.0,0.0,0.0,45.45273631840796,0,0.0
49,49,40.738510164313716,-73.78451330019608,0,0,0.0,0.0,0.0,41.266666666666666,0,0.00040641031422938747
50,50,40.5852118259375,-74.091864395625,6,1,0.0,0.0,0.0,26.100188172043,4,0.004809487863185416
51,51,40.865997964514285,-73.92325055765714,19,1,2.75,4.0,0.5,73.0,22,0.005348878828067174
52,52,40.665303157529415,-73.73112105105882,0,1,0.0,0.0,0.0,34.06666666666667,0,0.010555623162220829
53,53,40.71311010581896,-73.95321178090519,16,2,3.6666666666666665,104.16666666666667,1.6666666666666667,82.73915159944364,24,0.002714784842995859
54,54,40.67605230642336,-73.87215261569344,19,3,0.0,0.0,0.0,29.442446043165468,10,0.06476397604855019
55,55,40.79942206295918,-74.01323508336735,0,0,0.0,0.0,0.0,58.696666666666665,0,0.0105114205230309
56,56,40.79517800197044,-73.96933872039409,15,3,3.1,130.35,1.65,107.67666666666666,15,0.003088222890028883
57,57,40.867775657333326,-73.8275141436,0,1,0.0,0.0,0.0,33.11,0,0.004593241409458522
58,58,40.8274004069863,-74.13997838506849,0,1,0.0,0.0,0.0,52.75333333333333,0,0.007433127234787216
59,59,40.93289116256409,-73.96335474346154,0,1,0.0,0.0,0.0,40.166666666666664,0,0.008304876660980889
60,60,40.67773410236842,-74.20797035052631,0,0,0.0,0.0,0.0,18.86,0,0.008150796537077782
61,61,40.90978631705881,-73.78084167941176,0,1,0.0,0.0,0.0,24.25,0,0.0018357790886849093
62,62,40.75282196031579,-73.97564023706767,16,6,3.0384615384615383,193.46153846153845,1.6153846153846154,77.88394793926247,51,0.0036181063262633205
63,63,40.812425182372884,-73.92919024118646,14,0,0.0,0.0,0.0,27.03227353463588,14,0.007449028690957148
64,64,40.911208146034475,-73.90431241224137,0,0,0.0,0.0,0.0,25.0,0,0.0030135147431128327
65,65,40.80600930287879,-74.19606898515151,0,1,0.0,0.0,0.0,47.080000000000005,0,0.007471763024823544
66,66,40.61763451852941,-74.17302592617648,0,0,0.0,0.0,0.0,54.28042780748658,0,0.0011891790157354991
67,67,40.62125793083333,-74.07493028611111,3,0,0.0,0.0,0.0,31.114864864864863,3,0.0025487999963132893
68,68,40.76197153575472,-73.77072113113208,0,2,0.0,0.0,0.0,41.266666666666666,0,0.005041065114302188
69,69,40.773855897397254,-73.90942307253424,4,0,4.125,35.0,1.25,27.698832116788367,6,0.0075636986205310985
70,70,40.71859745513513,-74.07249387,0,1,0.0,0.0,0.0,82.80333333333333,0,0.009008724414521987
71,71,40.91476837594937,-74.1707307413924,0,0,0.0,0.0,0.0,62.23,0,0.0021372551127465484
72,72,40.77205067792593,-73.86963967088889,0,0,0.0,0.0,0.0,45.94333333333333,0,0.003216150110013754
73,73,40.66323019664122,-73.9462218865649,9,1,0.0,0.0,0.0,120.0,8,0.001774866046692064
74,74,40.89670387742857,-73.97409485971428,0,0,0.0,0.0,0.0,40.166666666666664,0,0.001386994572113073
75,75,40.742774499420854,-73.99123991158301,22,1,3.4,121.4,2.0,106.54446088794904,85,0.002310814992083289
76,76,40.902466486333324,-73.86948576666667,0,0,0.0,0.0,0.0,28.5,0,0.005767842515523847
77,77,40.918046185900614,-74.07703005434783,0,1,0.0,0.0,0.0,45.44333333333333,0,0.0027288800400613183
78,78,40.80921095833333,-74.07160751820513,0,0,0.0,0.0,0.0,52.75333333333333,0,0.0
79,79,40.577326990416665,-73.88633393583333,0,0,0.0,0.0,0.0,41.666666666666664,0,0.0017949635619437566
80,80,40.74038253695653,-74.03112834666666,0,2,3.3,142.6,1.4,107.51666666666667,0,0.0026403204465545393
81,81,40.759015718476185,-73.99074157780953,9,5,3.2857142857142856,346.5,1.8571428571428572,49.31906729633977,71,0.0019489001549991075
82,82,40.74160303885965,-73.90189535350878,7,4,3.7142857142857144,48.714285714285715,1.0,19.5,5,0.00782999842701251
83,83,40.739559394512185,-73.81766404231708,0,5,0.0,0.0,0.0,34.06666666666667,0,0.009830119390371452
84,84,40.683892845892856,-73.82580452375,10,0,0.0,0.0,0.0,34.06666666666667,8,0.003236066299369974
85,85,40.601087258355264,-73.99351213302631,12,6,0.0,0.0,0.0,31.166666666666668,12,0.005501244063870962
86,86,40.88762824,-74.1504723764151,0,0,0.0,0.0,0.0,62.23,0,0.003100530036041505
87,87,40.789529048515625,-73.94756894832031,13,4,3.28,21.4,1.12,48.25581395348837,14,0.005937941172318089
88,88,40.96687164309524,-74.06982654154761,0,0,0.0,0.0,0.0,71.5788770053476,0,0.0013263378744024805
89,89,40.779362756933324,-74.2329693104,0,1,0.0,0.0,0.0,20.933333333333334,0,0.03672225414099999
90,90,40.71593395942363,-73.9972345625072,13,51,3.635897435897436,249.62051282051283,1.2564102564102564,89.115668202765,41,0.05132528773649606
91,91,40.85036736103447,-73.84941548275863,1,0,0.0,0.0,0.0,33.11,0,0.005639245471276988
92,92,40.73047609140351,-73.69946323754388,0,0,0.0,0.0,0.0,55.37152777777784,0,0.006546076546225906
93,93,40.708780772444456,-74.24928149733333,0,0,0.0,0.0,0.0,18.86,0,0.009627457911129591
94,94,40.687222485084746,-73.77479850152542,0,1,0.0,0.0,0.0,34.06666666666667,0,0.010766106649917331
95,95,40.68046251813411,-73.97724643489796,27,3,3.875,73.25,1.25,86.78407079646097,29,0.006796172596843303
96,96,40.82530528955883,-73.82141186573529,0,1,0.0,0.0,0.0,37.21,0,0.004329840750268937
97,97,40.70080936171875,-73.94630635859373,16,2,4.25,62.5,1.5,59.049999999999855,16,0.0097910050745302
98,98,40.88056528288889,-74.06635352111111,0,0,0.0,0.0,0.0,57.776666666666664,0,0.004321757081602703
99,99,40.81294843212121,-74.15808460257577,0,1,0.0,0.0,0.0,47.080000000000005,0,0.003901245916210967
100,100,40.610756924615394,-73.92082183102566,0,1,0.0,0.0,0.0,30.0,0,0.0052806080964553845
101,101,40.764625586897814,-73.95754960010949,5,4,3.35,54.6,1.2,83.9103448275862,19,0.0038496846609773726
102,102,40.7098374177647,-73.86057082647059,0,2,0.0,0.0,0.0,27.384615384615383,0,0.003238101059631549
103,103,40.74473901326316,-73.95388532105264,15,0,3.0,34.0,1.0,77.0,20,0.0035909132034111202
104,104,40.61991286967033,-74.0295000396154,8,1,0.0,0.0,0.0,50.5,8,0.004530314899219038
105,105,40.720294344038464,-74.08786267346154,0,1,0.0,0.0,0.0,82.80333333333333,0,0.008716278787953773
106,106,40.643911627322844,-73.97402670496064,16,1,0.0,0.0,0.0,50.093333333333334,8,0.0063302154113729645
107,107,40.828751065180725,-74.09806272698795,0,1,0.0,0.0,0.0,52.75333333333333,0,0.004894762601266456
108,108,40.884809547807016,-73.90496285175439,11,1,0.0,0.0,0.0,44.5,9,0.0037890979285707845
109,109,40.67990144109756,-73.91702634670732,19,1,4.0,6.0,1.0,18.0,13,0.015047119081618729
110,110,40.762040470289115,-73.97650259562926,23,4,3.5,656.0,2.142857142857143,134.27083333333334,97,0.004199708881853121
111,111,40.66975477711864,-73.80729099067797,0,0,0.0,0.0,0.0,34.06666666666667,0,0.00030447281007798274
112,112,40.85158579059524,-73.97256768702381,0,2,3.6666666666666665,116.66666666666667,1.6666666666666667,45.91,0,0.0034415125952639986
113,113,40.85179916540881,-73.93288728188679,11,1,3.1666666666666665,52.333333333333336,1.0,45.91,16,0.0018026124121393238
114,114,40.822533933451325,-73.89224954522123,26,4,0.0,0.0,0.0,27.858823529411733,17,0.03933179024260367
115,115,40.946564020833335,-74.02623474708334,0,0,0.0,0.0,0.0,40.166666666666664,0,0.00354481816807654
116,116,40.78993444077586,-74.05090679448277,0,0,0.0,0.0,0.0,52.75333333333333,0,0.0023083151091577987
117,117,40.90973443507463,-74.03245942253731,0,2,0.0,0.0,0.0,40.166666666666664,0,0.0059894372659613
118,118,40.753382066893934,-74.02619118439394,0,2,3.25,38.5,1.5,47.080000000000005,0,0.004448268197137928
119,119,40.83220549636364,-73.9449798789091,14,1,3.6666666666666665,24.0,1.0,31.576666666666664,18,0.006429338682384865
120,120,40.70697555212766,-73.78872816882979,24,1,0.0,0.0,0.0,34.06666666666667,19,0.003722221688634204
121,121,40.87141018421053,-74.17790277894737,0,0,0.0,0.0,0.0,52.75333333333333,0,0.004515214417405768
122,122,40.78471122627451,-73.81359208529412,0,0,0.0,0.0,0.0,36.21,0,0.002470536922223794
123,123,40.759664025423724,-73.92604773350283,12,2,3.3,48.6,1.1,47.45491056910599,10,0.0028813555622833873
124,124,40.752720368695655,-73.72704003695652,0,0,0.0,0.0,0.0,34.0,0,0.002128574659443029
125,125,40.68214988562092,-73.9473542486928,12,2,0.0,0.0,0.0,64.79999999999998,10,0.005881803203655012
126,126,40.62713887043478,-74.14209064927536,0,0,0.0,0.0,0.0,18.209292035398196,0,0.003031158651714696
127,127,40.900586791071426,-74.12232074142857,0,1,0.0,0.0,0.0,57.776666666666664,0,0.003651482995106378
128,128,40.69212523346939,-74.17876155244899,0,0,0.0,0.0,0.0,18.86,0,0.0
129,129,40.8081856994,-73.94788787091998,17,0,3.227272727272727,9.545454545454545,1.0,41.666666666666664,18,0.0012436190238964606
130,130,40.824989956559136,-73.98156288741936,0,0,3.8333333333333335,92.33333333333333,2.0,41.11,0,0.0022018324336472287
131,131,40.63289663083333,-73.74314351916667,4,0,0.0,0.0,0.0,33.4,0,0.0007767903216613789
132,132,40.82979655305883,-73.91919989535296,32,4,0.0,0.0,0.0,32.36499999999998,26,0.007389111606382301
133,133,40.955679209333326,-73.928239168,0,0,0.0,0.0,0.0,21.5,0,0.0
134,134,40.73559573207679,-73.9909767449738,16,2,3.3333333333333335,369.9166666666667,1.5833333333333333,294.73499999999893,62,0.005011079861686146
135,135,40.97110372142857,-73.96332190357144,0,2,0.0,0.0,0.0,77.98031496062993,0,0.0037066821838769724
136,136,40.847784585599996,-74.22864705239999,0,0,0.0,0.0,0.0,47.080000000000005,0,0.005362376943406322
137,137,40.7004222843421,-73.99062257280701,7,1,0.0,0.0,0.0,54.13297872340426,13,0.027035467446547192
138,138,40.7201611909375,-73.7644829228125,0,0,0.0,0.0,0.0,34.06666666666667,0,0.02779663022967592
139,139,40.96489072657895,-73.86621113184209,0,0,0.0,0.0,0.0,23.16923076923077,0,0.0043600811531014985
140,140,40.74358152525,-74.256952533,0,0,0.0,0.0,0.0,18.86,0,0.0009298076711869428
141,141,40.854374747702714,-74.03650904175676,0,0,0.0,0.0,0.0,57.91,0,0.0016376481754378782
142,142,40.836934682666666,-73.70643452600001,0,0,0.0,0.0,0.0,101.64666666666723,0,0.0002455180042229097
143,143,40.63726185165049,-73.99116944058251,12,1,0.0,0.0,0.0,25.599999999999998,11,0.002961854821101278
144,144,40.733568764405604,-73.87118696755245,9,3,4.0,50.0,1.0,26.5,9,0.005510314843067247
145,145,40.604755753157896,-73.95795951410527,5,2,0.0,0.0,0.0,35.0,4,0.005195409571087507
146,146,40.70339928584906,-73.90310282830188,15,1,4.0,27.8,0.8,47.60000000000012,9,0.005654175062331061
147,147,40.72902759319728,-74.00676840880952,9,2,3.5,145.5,1.5,147.5,27,0.003964402656161605
148,148,40.68375373846154,-73.7171888255128,0,1,0.0,0.0,0.0,34.06666666666667,0,0.00819911632657256
149,149,40.5799478174,-73.8373028096,5,0,0.0,0.0,0.0,29.333333333333332,1,0.010195111485924991
